name,person,street,zip,city,canton,phone,website,source_count,sources,url
Gemini Mécanique SA,"mécanique révision de machines Type Escomatic®, pièces de rechanges, Affûteuse Clottu",Grand'Rue 52,2054,Chézard-St-Martin,NE,032 846 13 14,,1,search.ch:grow shop,https://tel.search.ch/chezard-st-martin/grandrue-52/gemini-mecanique-sa
Global CBD,,Hagelgasse 4,5724,Dürrenäsch,AG,,,1,search.ch:cbd,https://tel.search.ch/duerrenaesch/hagelgasse-4/global-cbd
Goldbar420 sarl,Cbd producteur,Les Jaccolats 6,1853,Yvorne,VD,078 267 37 34,,1,search.ch:cbd,https://tel.search.ch/yvorne/les-jaccolats-6/goldbar420-sarl
goodvibe.ch GmbH,,Riedmattstrasse 5,8153,Rümlang,ZH,043 333 44 20,,1,search.ch:cbd,https://tel.search.ch/ruemlang/riedmattstrasse-5/goodvibe-ch-gmbh
Green Passion - CBD Shop Zürich,Green Passion,Badenerstrasse 249,8003,Zürich,ZH,043 333 31 51,,1,search.ch:cbd,https://tel.search.ch/zuerich/badenerstrasse-249/green-passion-cbd-shop-zuerich
GROSHOP CBD Sàrl,,Z. I Pré-Bryand 14,1510,Moudon,VD,,,1,search.ch:cbd,https://tel.search.ch/moudon/z-i-pre-bryand-14/groshop-cbd-sarl
Grossi Pavimenti Sagl | Agenzia Postale di Gordola,Grossi René,Via San Gottardo 75,6596,Gordola,TI,091 234 19 01,,1,search.ch:head shop,https://tel.search.ch/gordola/via-san-gottardo-75/grossi-pavimenti-sagl-agenzia-postale-di-gordola
Growlight.ch,Peter Daugaard,Gubelstrasse 41,8050,Zürich,ZH,076 371 95 71,,1,search.ch:growshop,https://tel.search.ch/zuerich/gubelstrasse-41/growlight-ch
GUMP Automobiles Sàrl,A votre service pour toutes marques de véhicules,Chemin de la Colice 4,1023,Crissier,VD,021 801 23 23,,1,search.ch:head shop,https://tel.search.ch/crissier/chemin-de-la-colice-4/gump-automobiles-sarl
Gärtnerei Allemann GmbH,,Benkenstrasse 266,4108,Witterswil,SO,061 721 10 00,,1,search.ch:grow shop,https://tel.search.ch/witterswil/benkenstrasse-266/gaertnerei-allemann-gmbh
Hanftheke Bern,,Kramgasse 37,3011,Bern,BE,031 311 60 45,,1,search.ch:cbd,https://tel.search.ch/bern/kramgasse-37/hanftheke-bern
HEAD MASTER BARBER SHOP,,Rue du Jura 7,1201,Genève,GE,077 961 48 73,,1,search.ch:head shop,https://tel.search.ch/geneve/rue-du-jura-7/head-master-barber-shop
Heimat Manufaktur AG,,Morgentalstrasse 4B,9323,Steinach,SG,071 446 12 12,,1,search.ch:cbd,https://tel.search.ch/steinach/morgentalstrasse-4b/heimat-manufaktur-ag
helvetia kiosk head shop,,Löwengässchen 12,8200,Schaffhausen,SH,076 324 39 77,,1,search.ch:head shop,https://tel.search.ch/schaffhausen/loewengaesschen-12/helvetia-kiosk-head-shop
hemp.ch,Schweizer Online Shop für CBD,Hauptstrasse 23,4132,Muttenz,BL,079 321 23 23,,1,search.ch:cbd,https://tel.search.ch/muttenz/hauptstrasse-23/hemp-ch
Herba di Berna AG,Fachgeschäft für CBD & Hanfprodukte,Scheibenstrasse 13,3014,Bern,BE,031 503 12 22,,1,search.ch:cbd,https://tel.search.ch/bern/scheibenstrasse-13/herba-di-berna-ag
"Hillbilly Connection, Andres","Headshop, Growshop & CBD Produkte",Bahnhofstrasse 8,3534,Signau,BE,,,1,search.ch:growshop,https://tel.search.ch/signau/bahnhofstrasse-8/hillbilly-connection-andres
Hotel-Restaurant Blümlisalp Grindelwald,Andreas Lohner,Obere Gletscherstrasse 145,3818,Grindelwald,BE,033 853 63 60,,1,search.ch:head shop,https://tel.search.ch/grindelwald/obere-gletscherstrasse-145/hotel-restaurant-bluemlisalp-grindelwald
J. Zarbl - The GreenPoint CBD Shop,,Via Pra di Vizi 10,6612,Ascona,TI,,,1,search.ch:cbd,https://tel.search.ch/ascona/via-pra-di-vizi-10/j-zarbl-the-greenpoint-cbd-shop-4
Jentschura (Schweiz) AG,Natürliche Produkte für Ihren Säure-Basen-Haushalt,Seestrasse 62,8806,Bäch,SZ,044 784 79 31,,1,search.ch:grow shop,https://tel.search.ch/baech/seestrasse-62/jentschura-ag-3
Jordan Briand CBD KINGZ,,Avenue de la Gare 24,1870,Monthey,VS,,,1,search.ch:cbd,https://tel.search.ch/monthey/avenue-de-la-gare-24/jordan-briand-cbd-kingz
Jöhl Medical CBD,,Hofäckerstrasse 3,9524,Zuzwil,SG,,,1,search.ch:cbd,https://tel.search.ch/zuzwil/hofaeckerstrasse-3/joehl-medical-cbd
Kayashop Sàrl,"Cannabis CBD, Growshop, Headshop, Shishas, Cigarettes Electroniques",Avenue de la Gare 17,1800,Vevey,VD,021 922 52 89,,1,search.ch:growshop,https://tel.search.ch/vevey/avenue-de-la-gare-17/kayashop-sarl
KAZZI CBD,,Amriswilerstrasse 65,8590,Romanshorn,TG,,,1,search.ch:cbd,https://tel.search.ch/romanshorn/amriswilerstrasse-65/kazzi-cbd
KDC Organic,,Route Cantonale 123,1897,Les Evouettes,VS,078 863 69 58,,1,search.ch:cbd,https://tel.search.ch/les-evouettes/route-cantonale-123/kdc-organic
Keller Tabak AG,,Bahnhofstrasse 1,2502,Biel/Bienne,BE,032 322 52 70,,1,search.ch:cbd,https://tel.search.ch/biel-bienne/bahnhofstrasse-1/keller-tabak-ag
"La Librairie du Château, Laure Paccaud","Bienvenue à vous, lecteurs et lectrices, flâneurs et flâneuses !",Grand-Rue 10,1180,Rolle,VD,021 825 34 24,,1,search.ch:grow shop,https://tel.search.ch/rolle/grand-rue-10/la-librairie-du-chateau-laure-paccaud
La Poésie des Fleurs Sàrl,"Bouquets sur mesure, arrangements, abonnements floraux, mariages, deuil, livraisons et décorations.",Rue Charles-GIRON 15,1203,Genève,GE,079 935 54 89,,1,search.ch:grow shop,https://tel.search.ch/geneve/rue-charles-giron-15/la-poesie-des-fleurs-sarl
LASALADE CBD,Herbalist CJ SARL,Route du Village 12,1872,Troistorrents,VS,027 560 20 10,,1,search.ch:cbd,https://tel.search.ch/troistorrents/route-du-village-12/lasalade-cbd
Look CBD Bakis,,Fasanenstrasse 33,4402,Frenkendorf,BL,061 901 16 29,,1,search.ch:cbd,https://tel.search.ch/frenkendorf/fasanenstrasse-33/look-cbd-bakis
Léman CBD,,Avenue du Tir-Fédéral 12,1022,Chavannes-près-Renens,VD,,,1,search.ch:cbd,https://tel.search.ch/chavannes-pres-renens/avenue-du-tir-federal-12/leman-cbd
McBoard - Intersport RENT,,Avenue Centrale 117,1884,Villars-sur-Ollon,VD,024 495 13 39,,1,search.ch:head shop,https://tel.search.ch/villars-sur-ollon/avenue-centrale-117/mcboard-intersport-rent-2
Meyers Sporthaus AG,Inh. Urs Portmann,Gotthardstrasse 93,6490,Andermatt,UR,041 887 12 32,,1,search.ch:head shop,https://tel.search.ch/andermatt/gotthardstrasse-93/meyers-sporthaus-ag
Moulin Neuf,,Route du Moulin-Neuf 82,1725,Posieux,FR,026 402 34 48,,1,search.ch:grow shop,https://tel.search.ch/posieux/route-du-moulin-neuf-82/moulin-neuf
My Growing Company SA,,Rue Saint-Hubert 38,2854,Bassecourt,JU,,,1,search.ch:grow shop,https://tel.search.ch/bassecourt/rue-saint-hubert-38/my-growing-company-sa
Naturalpes CBD Shop,,Rue Maunoir 19,1207,Genève,GE,022 736 13 47,,1,search.ch:cbd,https://tel.search.ch/geneve/rue-maunoir-19/naturalpes-cbd-shop
Naturalpes CBD Shop Sion,,Rue de l'Eglise 1,1950,Sion,VS,027 322 94 10,,1,search.ch:cbd,https://tel.search.ch/sion/rue-de-leglise-1/naturalpes-cbd-shop-sion
Naturalpes Swiss CBD,Shop Martigny,Rue de l'Ancienne-Pointe 30,1920,Martigny,VS,027 721 78 23,,1,search.ch:cbd,https://tel.search.ch/martigny/rue-de-lancienne-pointe-30/naturalpes-swiss-cbd
Naturwesen & Kristalle,Irma Haveland - Lorenz,Bahnhofstrasse 7,4106,Therwil,BL,079 317 08 25,,1,search.ch:grow shop,https://tel.search.ch/therwil/bahnhofstrasse-7/naturwesen-kristalle
Nulle Part Ailleurs Décoration Sàrl,Rideaux et travaux tapissiers,Rue du Valentin 5,1400,Yverdon-les-Bains,VD,024 425 23 16,,1,search.ch:head shop,https://tel.search.ch/yverdon-les-bains/rue-du-valentin-5/nulle-part-ailleurs-decoration-sarl
Oeltrans AG,Ihr Familienbetrieb und KMU aus dem Berner Oberland,Untere Bönigstrasse 21,3800,Interlaken,BE,033 822 74 75,,1,search.ch:head shop,https://tel.search.ch/interlaken/untere-boenigstrasse-21/oeltrans-ag
Office World I OWIBA AG,Headoffice,Gewerbestrasse 16,3065,Bolligen,BE,058 122 60 60,,1,search.ch:head shop,https://tel.search.ch/bolligen/gewerbestrasse-16/office-world-i-owiba-ag
Officearena AG,,Industriestrasse 9,5432,Neuenhof,AG,041 252 20 40,,1,search.ch:grow shop,https://tel.search.ch/neuenhof/industriestrasse-9/officearena-ag
One cbd shop & smoking Lounge,,Aarbergergasse 14,3011,Bern,BE,079 832 27 60,,1,search.ch:cbd,https://tel.search.ch/bern/aarbergergasse-14/one-cbd-shop-smoking-lounge
Pacific Shop Rental,location skis et snowboard,Rue Centrale 35,3963,Crans-Montana,VS,027 481 45 76,,1,search.ch:head shop,https://tel.search.ch/crans-montana/rue-centrale-35/pacific-shop-rental
Paragon Sport - Intersport RENT,,Route de Solalex 15,1882,Gryon,VD,024 498 16 30,,1,search.ch:head shop,https://tel.search.ch/gryon/route-de-solalex-15/paragon-sport-intersport-rent
PHYSIONRJ | Physiothérapie à Martigny,Physioinnovation Sàrl // Grimfors & Toft,Rue du Manoir 1,1920,Martigny,VS,078 741 93 70,,1,search.ch:grow shop,https://tel.search.ch/martigny/rue-du-manoir-1/physionrj-physiotherapie-a-martigny
"PhytoXtract SA (Pharma), PhytoFarms SA",Labos + Bureaux (Espace Eclosion),Chemin des Aulx 14,1228,Plan-les-Ouates,GE,022 312 34 34,,1,search.ch:cbd,https://tel.search.ch/plan-les-ouates/chemin-des-aulx-14/phytoxtract-sa-phytofarms-sa
Promptauto SA,Accessori e ricambi vetture italiane e d'epoca,In Cumlina 26,6528,Camorino,TI,091 942 18 83,,1,search.ch:head shop,https://tel.search.ch/camorino/in-cumlina-26/promptauto-sa-2
Publicity Shop Sàrl,Colliard Johan,Route de la Rougève 8,1623,Semsales,FR,021 948 89 80,,1,search.ch:head shop,https://tel.search.ch/semsales/route-de-la-rougeve-8/publicity-shop-sarl-2
Pépinières Meylan SA,vente en ligne,Chemin des Roseyres 208,1400,Yverdon-les-Bains,VD,021 634 01 52,,1,search.ch:grow shop,https://tel.search.ch/yverdon-les-bains/chemin-des-roseyres-208/pepinieres-meylan-sa
Ristorante Motrice,Fam. Fausto e Ornella Isepponi,Via da Spultri 6,7742,Poschiavo,GR,081 844 02 27,,1,search.ch:grow shop,https://tel.search.ch/poschiavo/via-da-spultri-6/ristorante-motrice
Sarabandacransmontana,,Avenue de la Gare 21,3963,Crans-Montana,VS,076 639 79 51,,1,search.ch:grow shop,https://tel.search.ch/crans-montana/avenue-de-la-gare-21/sarabandacransmontana
Shishastar,Tabakwaren,Zentrum 2,5443,Niederrohrdorf,AG,056 470 09 30,,1,search.ch:head shop,https://tel.search.ch/niederrohrdorf/zentrum-2/shishastar
Skenda Reinigungen GmbH,,Jurastrasse 29A,3422,Alchenflüh,BE,034 445 49 82,,1,search.ch:grow shop,https://tel.search.ch/alchenflueh/jurastrasse-29a/skenda-reinigungen-gmbh
Smok.ch,Onlineshop,Hintermättlistrasse 3,5506,Mägenwil,AG,062 896 08 30,,1,search.ch:cbd,https://tel.search.ch/maegenwil/hintermaettlistrasse-3/smok-ch
